NhoodName,NhoodID,CityID,Population,MedHHIncome,AveHouseholdSize,ViolentCrime,PropertyCrime,MedEducation,MedAge,PctWhite,PctBlack,PctAsian,PctHispanic,PctForeignBorn,WalkScore,TransitScore,BikeScore
Flushing/Whitestone,1,New York,257327,56970,2.69,1.8,5.8,HS Diploma/GED,43,30,2,50.2,16.2,53,89,83,56
Central Harlem,2,New York,126558,38640,2.5,9.1,7.8,HS Diploma/GED,34,11.8,58.6,3.5,23.6,19.7,97,100,75
Upper East Side,3,New York,218842,104400,2.03,1.1,7.5,Bachelor,47,77.6,3,9.2,8.2,21.1,99,99,73
Upper West Side,4,New York,199843,68530,2.02,2,6.8,Bachelor,42,68.1,6.6,7.7,15.3,22.4,98,99,80
Greenpoint/Williamsburg,5,New York,146253,79100,2.8,4.6,10.6,Bachelor,29,60.7,2.6,5.2,30,25.8,96,92,84
Fort Greene/Brooklyn Heights,6,New York,125468,78500,2.08,6.6,14,Bachelor,34,42.7,30,6.6,16.7,19.6,97,100,89
Coney Island,7,New York,103112,31840,2.4,4.3,6.4,HS Diploma/GED,43,59.3,12.2,14.6,12.5,53.1,82,74,76
St. George/Stapleton,8,New York,172052,64880,2.71,3.3,5.1,HS Diploma/GED,35,41.3,21.7,8.1,27.2,24.7,84,73,57
Elmhurst/Corona,9,New York,136517,45150,3.25,3.3,5.4,HS Diploma/GED,35,8.1,6.5,35.3,47.5,63.9,95,96,55
Morrisania/Crotona,10,New York,160651,22500,2.95,7.8,6.3,HS Diploma/GED,30,4.1,30.2,0.7,63.6,29.5,94,91,68
Hillcrest/Fresh Meadows,11,New York,138004,60390,2.72,2.3,6,Some College,39,32.8,12.6,30,20.5,45.5,76,68,64
Astoria,12,New York,166666,50870,2.33,3.2,7,Some College,35,46.6,6.9,14.5,29.2,44.9,92,78,71
Brownsville,13,New York,115433,28690,2.75,12.9,10.2,HS Diploma/GED,30,0.4,74,0.4,24.6,28.8,92,97,58
Crown Heights/Prospect Heights,14,New York,119323,42170,2.59,6.1,7.5,HS Diploma/GED,34,19,61.6,3.3,13.7,30.1,95,99,78
Clinton/Chelsea,15,New York,134471,85120,1.72,4.6,18,Bachelor,38,63.6,6.3,13.9,12.6,27,99,100,87
Lower East Side/Chinatown,16,New York,159009,46270,2.38,4.3,9.4,Some College,41,33.7,6.4,34.7,22.9,35.2,96,92,91
Greenwich Village/SoHo,17,New York,144944,111660,1.81,4,24.7,Bachelor,36,73.2,2.4,14.6,5.6,23.1,100,100,86
Washington Heights/Inwood,18,New York,205414,45020,2.88,4.8,5.7,Some College,36,18.9,7.4,2,70.2,50.1,97,97,70
Riverdale/Fieldston,19,New York,109153,54720,2.2,2.8,6.4,Bachelor,43,37.7,13.3,5.2,42.3,32.6,80,72,43
Bushwick,20,New York,140437,40510,3.01,7.7,8.6,HS Diploma/GED,30,10.7,9.7,6,71.8,35.7,95,90,69
Hollywood,21,Los Angeles,85489,30612,2.1,13.5,47,Some College,31,41,5.2,7.1,42.2,53.8,87,61,66
Studio City,22,Los Angeles,37201,76624,1.9,1.7,18.9,Some College,38,78,3.7,5.4,8.7,21.1,63,43,46
Beverly Hills,23,Los Angeles,34146,97544,2.2,,,Bachelor,41,81.8,1.4,7.6,4.8,38.2,78,,
Brentwood,24,Los Angeles,33312,114370,2,2,22.2,Bachelor,39,84.2,1.2,6.5,4.5,21.1,54,44,43
Culver City,25,Los Angeles,38249,71679,2.3,,,Some College,39,48.3,10.7,12.3,23.8,26.6,73,,
Baldwin Hills/Crenshaw,26,Los Angeles,32134,38433,2.3,16.2,46.2,Some College,36,3.3,71.3,4.7,17.3,16.6,59,52,48
Silver Lake,27,Los Angeles,32890,55034,2.3,2.7,25.3,Some College,35,34,3.2,18,41.8,41.1,77,54,51
Echo Park,28,Los Angeles,43832,38190,3,4.6,22.1,HS Diploma/GED,30,12.9,2,18.8,64,53.1,95,60,68
Van Nuys,29,Los Angeles,110747,41660,3,6.6,27.1,HS Diploma/GED,28,23.1,6,6.4,60.5,49.8,70,50,57
Santa Monica,30,Los Angeles,86907,69895,1.8,,,Bachelor,38,71.3,3.5,7.1,13.5,24.8,83,60,83
Venice,31,Los Angeles,40885,68512,1.9,7.6,37,Some College,35,64.2,5.4,4.1,21.7,22.3,82,50,83
Chatsworth,32,Los Angeles,37102,85536,2.6,3.1,28.8,Some College,40,65.7,2.2,14.4,13.5,25.2,48,37,48
Florence,33,Los Angeles,46610,29824,3.8,18.9,32.8,Less Than HS,23,0.4,28.1,0.4,69.8,41.3,68,64,
Vermont-Slauson,34,Los Angeles,28374,31635,3.5,25.4,35.7,Less Than HS,25,1.3,36.8,0.3,60.5,39.2,82,16,58
Watts,35,Los Angeles,41028,25483,4,18.6,26.2,Less Than HS,21,0.5,37.1,0.2,61.6,34,62,56,56
East Los Angeles,36,Los Angeles,126496,39115,3.9,4.5,13.2,Less Than HS,25,1.7,0.3,1,96.7,48.6,73,,
Historic South Central,37,Los Angeles,52509,31277,4.1,12,27.3,Less Than HS,23,1.2,10.1,1,87.2,56.3,82,69,74
Downtown,38,Los Angeles,34811,15195,1.6,62.9,161.4,Less Than HS,39,16.2,22.3,21.3,36.7,41.9,95,98,72
Eagle Rock,39,Los Angeles,34466,68113,2.8,2.4,19.1,Some College,35,29.8,1.9,23.9,40.3,38.5,70,47,44
Koreatown,40,Los Angeles,124281,30949,2.7,7,25.2,HS Diploma/GED,30,7.4,4.8,32.2,53.5,68,95,80,61
